UNITID,PRGMOFR,CIPCODE1,XCIPTUI1,CIPTUIT1,XCIPSUP1,CIPSUPP1,XCIPLGT1,CIPLGTH1,PRGMSR1,XMTHCMP1,MTHCMP1,XWKCMP1,WKCMP1,XLNAYHR1,LNAYHR1,XLNAYWK1,LNAYWK1,XCHG1PY0,CHG1PY0,XCHG1PY1,CHG1PY1,XCHG1PY2,CHG1PY2,XCHG1PY3,CHG1PY3,XCHG4PY0,CHG4PY0,XCHG4PY1,CHG4PY1,XCHG4PY2,CHG4PY2,XCHG4PY3,CHG4PY3,XCHG5PY0,CHG5PY0,XCHG5PY1,CHG5PY1,XCHG5PY2,CHG5PY2,XCHG5PY3,CHG5PY3,XCHG6PY0,CHG6PY0,XCHG6PY1,CHG6PY1,XCHG6PY2,CHG6PY2,XCHG6PY3,CHG6PY3,XCHG7PY0,CHG7PY0,XCHG7PY1,CHG7PY1,XCHG7PY2,CHG7PY2,XCHG7PY3,CHG7PY3,XCHG8PY0,CHG8PY0,XCHG8PY1,CHG8PY1,XCHG8PY2,CHG8PY2,XCHG8PY3,CHG8PY3,XCHG9PY0,CHG9PY0,XCHG9PY1,CHG9PY1,XCHG9PY2,CHG9PY2,XCHG9PY3,CHG9PY3,CIPCODE2,XCIPTUI2,CIPTUIT2,XCIPSUP2,CIPSUPP2,XCIPLGT2,CIPLGTH2,PRGMSR2,XMTHCMP2,MTHCMP2,CIPCODE3,XCIPTUI3,CIPTUIT3,XCIPSUP3,CIPSUPP3,XCIPLGT3,CIPLGTH3,PRGMSR3,XMTHCMP3,MTHCMP3,CIPCODE4,XCIPTUI4,CIPTUIT4,XCIPSUP4,CIPSUPP4,XCIPLGT4,CIPLGTH4,PRGMSR4,XMTHCMP4,MTHCMP4,CIPCODE5,XCIPTUI5,CIPTUIT5,XCIPSUP5,CIPSUPP5,XCIPLGT5,CIPLGTH5,PRGMSR5,XMTHCMP5,MTHCMP5,CIPCODE6,XCIPTUI6,CIPTUIT6,XCIPSUP6,CIPSUPP6,XCIPLGT6,CIPLGTH6,PRGMSR6,XMTHCMP6,MTHCMP6 
101277,2,"12.0401","A",.,"A",.,"R",1500,1,"R",12,"R",47,"R",900,"R",28,"R",6645,"R",7300,"R",9150,"R",9150,"R",900,"R",900,"R",1400,"R",1400,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5346,"R",5464,"R",10434,"R",10434,"R",3725,"R",3725,"R",7132,"R",7132,"R",2233,"R",2256,"R",5053,"R",5053,"12.0413","R",0,"R",800,"R",650,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
102711,17,"51.3902","A",.,"A",.,"R",230,1,"R",2,"R",8,"R",230,"R",8,"R",1320,"R",1320,"R",1320,"R",1320,"R",520,"R",520,"R",520,"R",520,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",3520,"R",3520,"R",3520,"R",3520,"R",400,"R",400,"R",400,"R",400,"R",400,"R",400,"R",400,"R",400,"47.0605","R",3025,"R",9669,"R",1346,1,"R",9,"52.0401","R",3025,"R",1537,"R",1246,1,"R",9,"47.0105","R",3025,"R",3933,"R",1379,1,"R",9,"48.0508","R",3025,"R",5770,"R",1120,1,"R",9,"12.0504","R",3025,"R",3647,"R",1490,1,"R",10,
103501,7,"51.0801","A",.,"A",.,"R",46,2,"R",10,"R",39,"R",30,"R",30,"R",10995,"R",12975,"R",13493,"R",13693,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",12636,"R",12948,"R",12704,"R",13543,"R",4163,"R",4134,"R",3383,"R",3510,"R",4163,"R",4134,"R",3383,"R",3510,"52.0299","R",23750,"A",.,"R",66,2,"R",17,"51.3501","R",13493,"A",.,"R",48,2,"R",8,"51.0713","R",10438,"A",.,"R",34,2,"R",10,"52.0201","R",13693,"A",.,"R",42,2,"R",10,"51.1009","R",9150,"A",.,"R",27,2,"R",6,
103732,2,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",46,"R",900,"R",26,"R",16000,"R",16000,"R",16000,"R",16000,"R",1500,"R",1500,"R",1550,"R",1550,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8085,"R",7820,"R",7786,"R",7889,"R",8763,"R",8809,"R",8786,"R",8545,"R",8763,"R",8809,"R",8786,"R",8545,"12.0413","R",4550,"R",300,"R",650,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
103741,2,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",46,"R",900,"R",26,"R",16000,"R",16000,"R",16000,"R",16000,"R",1500,"R",1500,"R",1550,"R",1550,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8085,"R",7820,"R",7786,"R",7889,"R",8763,"R",8809,"R",8786,"R",8545,"R",8763,"R",8809,"R",8786,"R",8545,"12.0413","R",4550,"R",300,"R",650,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
103811,4,"49.0205","A",.,"A",.,"R",24,2,"R",6,"R",24,"R",36,"R",30,"R",8420,"R",8420,"R",8720,"R",9150,"R",320,"R",320,"R",320,"R",320,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5280,"R",10020,"R",10446,"R",6816,"R",3738,"R",5016,"R",4218,"R",3246,"R",3738,"R",5016,"R",4218,"R",3246,"49.0205","R",7410,"R",320,"R",400,1,"R",2,"49.0205","R",6950,"R",320,"R",360,1,"R",4,"49.0205","R",3900,"R",320,"R",160,1,"R",1,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
103893,5,"51.0801","A",.,"A",.,"R",32,2,"R",11,"R",42,"R",24,"R",42,"R",13295,"R",14200,"R",14212,"R",14287,"R",408,"R",492,"R",859,"R",859,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",12810,"R",12674,"R",12401,"R",12149,"R",4547,"R",4736,"R",4704,"R",4494,"R",4715,"R",4883,"R",4841,"R",4610,"51.0601","R",14287,"R",794,"R",32,2,"R",10,"51.0805","R",14127,"R",882,"R",32,2,"R",10,"51.0808","R",14287,"R",760,"R",32,2,"R",10,"51.0705","R",10690,"R",3289,"R",30,2,"R",10,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
103909,10,"51.0801","A",.,"A",.,"R",32,2,"R",11,"R",42,"R",24,"R",42,"R",13295,"R",13700,"R",14212,"R",14287,"R",408,"R",752,"R",859,"R",859,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",12810,"R",11655,"R",12401,"R",12149,"R",4547,"R",4358,"R",4704,"R",4494,"R",4715,"R",4494,"R",4841,"R",4610,"51.0601","R",14287,"R",794,"R",32,2,"R",10,"51.0805","R",14127,"R",882,"R",32,2,"R",10,"51.0602","R",54125,"R",6291,"R",83,2,"R",19,"51.0714","R",13839,"R",1310,"R",32,2,"R",10,"51.0812","R",40717,"R",2961,"R",100,2,"R",23,
103927,7,"51.0801","A",.,"A",.,"R",32,2,"R",11,"R",42,"R",24,"R",42,"R",13295,"R",14200,"R",14212,"R",14287,"R",408,"R",492,"R",859,"R",859,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",12810,"R",12674,"R",12401,"R",12149,"R",4547,"R",4736,"R",4704,"R",4494,"R",4715,"R",4883,"R",4841,"R",4610,"51.0601","R",14287,"R",794,"R",32,2,"R",10,"51.0805","R",14127,"R",882,"R",32,2,"R",10,"51.0808","R",14287,"R",760,"R",32,2,"R",10,"51.0806","R",14127,"R",854,"R",32,2,"R",10,"51.0714","R",13839,"R",1310,"R",32,2,"R",10,
103954,3,"12.0401","A",.,"A",.,"R",1600,1,"R",13,"R",52,"R",900,"R",30,"R",14600,"R",14600,"R",14600,"R",14060,"R",1000,"R",1000,"R",1000,"R",1000,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",13650,"R",14222,"R",14807,"R",15444,"R",7332,"R",7644,"R",7969,"R",8307,"R",9555,"R",9958,"R",10374,"R",10816,"12.0410","R",3950,"R",1050,"R",600,1,"R",5,"12.0413","R",4450,"R",200,"R",650,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
